車牌,狀態代碼,行車速度,車頭方向,東經,北緯,日期時間,累積里程數,路段速限,局號
5473-YD,78,0,0,121.5219,25.116,2018/3/12 上午 10:17:27,0,50,100600
3663-QH,78,0,27,121.5038,25.1469,2018/3/12 上午 10:17:31,10,50,100600
4388-UY,78,0,134,121.5183,25.11,2018/3/12 上午 10:17:50,0,50,100600
3387-QH,78,0,185,121.5207,25.1159,2018/3/12 上午 10:18:00,,50,100600
1460-QH,78,0,157,121.5031,25.1322,2018/3/12 上午 10:19:16,10,50,100600
4412-UY,78,0,282,121.4976,25.1144,2018/3/12 上午 10:19:47,0,50,100600
4490-UW,78,0,321,121.4724,25.1312,2018/3/12 上午 10:19:55,0,50,100600
0003-QH,78,0,175,121.5132,25.1202,2018/3/12 上午 10:20:32,0,50,100600
7816-QK,78,0,94,121.4724,25.1266,2018/3/12 上午 10:21:23,,50,100600
4388-UY,78,0,154,121.5198,25.1078,2018/3/12 上午 10:21:26,,50,100600
5471-YD,78,0,0,121.5104,25.1416,2018/3/12 上午 10:22:10,,50,100600
8315-EW,78,0,154,121.521,25.118,2018/3/12 上午 10:22:54,,50,100600
3387-QH,78,0,98,121.5215,25.1166,2018/3/12 上午 10:23:08,0,50,100600
3670-QH,78,0,0,121.5104,25.1416,2018/3/12 上午 10:23:10,,50,100600
5473-YD,78,0,289,121.5187,25.1171,2018/3/12 上午 10:23:41,,50,100600
3663-QH,78,0,331,121.4985,25.144,2018/3/12 上午 10:24:19,0,50,100600
3387-QH,78,0,189,121.5207,25.1159,2018/3/12 上午 10:24:39,0,50,100600
4490-UW,78,0,327,121.4673,25.1283,2018/3/12 上午 10:25:31,0,50,100600
3663-QH,78,0,25,121.4996,25.1472,2018/3/12 上午 10:26:22,0,50,100600
4388-UY,78,0,79,121.5202,25.1124,2018/3/12 上午 10:26:44,12,50,100600
3387-QH,78,0,95,121.5225,25.1165,2018/3/12 上午 10:26:54,0,50,100600
4490-UW,78,0,236,121.4659,25.127,2018/3/12 上午 10:28:19,11,50,100600
4412-UY,78,0,357,121.5018,25.108,2018/3/12 上午 10:28:30,0,50,100600
5473-YD,78,0,330,121.5216,25.1187,2018/3/12 上午 10:29:48,,50,100600
5473-YD,78,0,330,121.5216,25.1187,2018/3/12 上午 10:29:52,15,50,100600
3663-QH,78,0,13,121.4941,25.1492,2018/3/12 上午 10:32:21,0,50,100600
3663-QH,78,0,252,121.4942,25.1497,2018/3/12 上午 10:33:40,,50,100600
3387-QH,78,0,154,121.5231,25.1164,2018/3/12 上午 10:34:45,0,50,100600
5471-YD,78,0,190,121.503,25.1359,2018/3/12 上午 10:35:18,,50,100600
4388-UY,78,0,35,121.5135,25.1185,2018/3/12 上午 10:36:41,,50,100600
0003-QH,78,0,196,121.503,25.1359,2018/3/12 上午 10:36:43,15,50,100600
4388-UY,78,0,35,121.5135,25.1185,2018/3/12 上午 10:36:52,,50,100600
4388-UY,78,0,35,121.5135,25.1185,2018/3/12 上午 10:36:58,,50,100600
3670-QH,78,0,73,121.5029,25.1358,2018/3/12 上午 10:38:34,15,50,100600
5472-YD,78,0,230,121.503,25.1359,2018/3/12 上午 10:39:00,,50,100600
4490-UW,78,0,50,121.4702,25.1337,2018/3/12 上午 10:39:31,0,50,100600
3663-QH,78,0,326,121.4953,25.1436,2018/3/12 上午 10:40:15,0,50,100600
1456-QH,78,0,22,121.5164,25.1189,2018/3/12 上午 10:40:27,10,50,100600
4412-UY,78,0,318,121.5062,25.1159,2018/3/12 上午 10:40:58,,70,100600
3387-QH,78,0,276,121.5174,25.117,2018/3/12 上午 10:41:26,,50,100600
4388-UY,78,0,280,121.5165,25.1192,2018/3/12 上午 10:42:10,,50,100600
4490-UW,78,0,260,121.4715,25.1357,2018/3/12 上午 10:43:37,0,50,100600
4388-UY,78,0,88,121.5164,25.1204,2018/3/12 上午 10:43:40,,50,100600
3663-QH,78,0,297,121.4968,25.1428,2018/3/12 上午 10:44:54,11,50,100600
4388-UY,78,0,194,121.5157,25.1202,2018/3/12 上午 10:45:06,0,50,100600
4412-UY,78,0,245,121.5063,25.1174,2018/3/12 上午 10:45:12,0,50,100600
5472-YD,78,0,188,121.5003,25.1265,2018/3/12 上午 10:46:54,0,50,100600
3387-QH,78,0,299,121.5183,25.1164,2018/3/12 上午 10:47:52,10,50,100600
5471-YD,78,0,62,121.5029,25.136,2018/3/12 上午 10:48:24,,50,100600
3663-QH,78,0,72,121.4996,25.1395,2018/3/12 上午 10:48:58,22,50,100600
4412-UY,78,0,266,121.5099,25.1178,2018/3/12 上午 10:50:17,0,50,100600
8315-EW,78,0,16,121.5239,25.1135,2018/3/12 上午 10:51:14,,50,100600
3663-QH,78,0,57,121.5001,25.1388,2018/3/12 上午 10:52:11,11,50,100600
5472-YD,78,0,91,121.5002,25.1241,2018/3/12 上午 10:52:18,0,50,100600
4388-UY,78,0,174,121.5141,25.1205,2018/3/12 上午 10:52:28,10,50,100600
0768-QH,78,0,110,121.5091,25.1176,2018/3/12 上午 10:53:32,15,50,100600
4412-UY,78,0,300,121.5108,25.1168,2018/3/12 上午 10:54:02,,50,100600
4490-UW,78,0,273,121.4686,25.1335,2018/3/12 上午 10:54:32,0,50,100600
3663-QH,78,0,173,121.4999,25.1384,2018/3/12 上午 10:56:10,15,50,100600
4388-UY,78,0,254,121.5159,25.1225,2018/3/12 上午 10:57:37,11,50,100600
4388-UY,78,0,254,121.5159,25.1225,2018/3/12 上午 10:57:39,,50,100600
4412-UY,78,0,160,121.5089,25.1194,2018/3/12 上午 10:58:45,0,50,100600
5473-YD,78,0,346,121.5198,25.1199,2018/3/12 上午 10:58:48,,50,100600
4388-UY,78,0,33,121.5129,25.1228,2018/3/12 上午 11:00:52,0,50,100600
4412-UY,78,0,289,121.5051,25.1195,2018/3/12 上午 11:01:46,,50,100600
3663-QH,78,0,319,121.5039,25.1363,2018/3/12 上午 11:03:01,,50,100600
4490-UW,78,0,33,121.4722,25.1277,2018/3/12 上午 11:03:44,0,50,100600
4388-UY,78,0,286,121.5123,25.1198,2018/3/12 上午 11:04:15,0,50,100600
4412-UY,78,0,227,121.5029,25.1194,2018/3/12 上午 11:04:19,0,50,100600
5470-YD,78,0,282,121.5215,25.1166,2018/3/12 上午 11:04:54,0,50,100600
5473-YD,78,0,100,121.5198,25.122,2018/3/12 上午 11:07:47,15,50,100600
4490-UW,78,0,187,121.4734,25.1279,2018/3/12 上午 11:07:52,0,50,100600
4388-UY,78,0,64,121.5111,25.1203,2018/3/12 上午 11:08:21,10,50,100600
3387-QH,78,0,14,121.517,25.114,2018/3/12 上午 11:08:22,23,50,100600
3663-QH,78,0,163,121.4991,25.1324,2018/3/12 上午 11:09:55,,50,100600
4388-UY,78,0,278,121.5108,25.1206,2018/3/12 上午 11:10:30,11,50,100600
3387-QH,78,0,30,121.5168,25.1151,2018/3/12 上午 11:11:04,,50,100600
4490-UW,78,0,160,121.471,25.1281,2018/3/12 上午 11:12:00,11,50,100600
4490-UW,78,0,168,121.4715,25.1275,2018/3/12 上午 11:13:32,0,50,100600
4412-UY,78,0,209,121.5021,25.1206,2018/3/12 上午 11:13:58,0,50,100600
3387-QH,78,0,222,121.5164,25.1142,2018/3/12 上午 11:14:12,15,50,100600
4388-UY,78,0,86,121.5011,25.1263,2018/3/12 上午 11:15:49,0,50,100600
8315-EW,78,0,79,121.5205,25.111,2018/3/12 上午 11:17:17,,50,100600
5473-YD,78,0,337,121.5229,25.1208,2018/3/12 上午 11:17:43,0,50,100600
5473-YD,78,0,337,121.5229,25.1208,2018/3/12 上午 11:17:48,,50,100600
4412-UY,78,0,212,121.5015,25.1204,2018/3/12 上午 11:18:05,0,70,100600
3387-QH,78,0,92,121.516,25.1161,2018/3/12 上午 11:18:07,0,50,100600
5471-YD,78,0,36,121.5016,25.1436,2018/3/12 上午 11:18:41,,50,100600
4388-UY,78,0,182,121.5013,25.1268,2018/3/12 上午 11:18:41,0,50,100600
3663-QH,78,0,243,121.5094,25.1253,2018/3/12 上午 11:20:08,0,50,100600
4490-UW,78,0,274,121.4732,25.1253,2018/3/12 上午 11:21:42,0,50,100600
3387-QH,78,0,97,121.5228,25.118,2018/3/12 上午 11:22:44,0,50,100600
4412-UY,78,0,240,121.503,25.1359,2018/3/12 上午 11:25:23,10,50,100600
3663-QH,78,0,7,121.5084,25.1271,2018/3/12 上午 11:25:39,,50,100600
5473-YD,78,0,90,121.5222,25.1206,2018/3/12 上午 11:25:55,0,50,100600
4388-UY,78,0,10,121.501,25.1302,2018/3/12 上午 11:27:41,,50,100600
4388-UY,78,0,10,121.501,25.1302,2018/3/12 上午 11:27:43,,50,100600
0005-QH,78,0,131,121.5029,25.1361,2018/3/12 上午 11:28:21,11,50,100600
3387-QH,78,0,280,121.5239,25.115,2018/3/12 上午 11:28:38,0,50,100600
