車牌,狀態代碼,行車速度,車頭方向,東經,北緯,日期時間,累積里程數,路段速限,局號
5471-YD,89,0,344,121.498,25.1436,2018/3/12 上午 11:21:40,0,50,100600
3670-QH,89,0,300,121.5092,25.1145,2018/3/12 上午 11:22:15,10,50,100600
3670-QH,89,0,300,121.5092,25.1145,2018/3/12 上午 11:22:45,0,50,100600
3670-QH,89,0,300,121.5092,25.1145,2018/3/12 上午 11:23:15,0,50,100600
3670-QH,89,0,300,121.5092,25.1145,2018/3/12 上午 11:23:45,0,50,100600
3670-QH,89,0,300,121.5092,25.1145,2018/3/12 上午 11:24:15,0,50,100600
3670-QH,89,0,300,121.5092,25.1145,2018/3/12 上午 11:24:45,0,50,100600
4412-UY,68,0,240,121.5029,25.1359,2018/3/12 上午 11:25:19,10,50,100600
3670-QH,89,0,160,121.5149,25.11,2018/3/12 上午 11:30:46,73,50,100600
3670-QH,89,0,160,121.515,25.11,2018/3/12 上午 11:31:16,10,50,100600
3670-QH,89,0,160,121.515,25.11,2018/3/12 上午 11:31:46,0,50,100600
3670-QH,89,0,160,121.515,25.11,2018/3/12 上午 11:32:16,0,50,100600
3670-QH,89,0,210,121.5178,25.1056,2018/3/12 上午 11:34:46,78,50,100600
3670-QH,89,0,210,121.5178,25.1056,2018/3/12 上午 11:35:16,0,50,100600
3670-QH,89,0,232,121.5177,25.1055,2018/3/12 上午 11:36:16,0,50,100600
3670-QH,89,0,232,121.5176,25.1055,2018/3/12 上午 11:36:46,10,50,100600
3670-QH,89,0,232,121.5176,25.1055,2018/3/12 上午 11:37:46,0,50,100600
0005-QH,68,0,175,121.515,25.11,2018/3/12 上午 11:40:07,11,50,100600
0005-QH,89,0,175,121.515,25.11,2018/3/12 上午 11:40:21,0,50,100600
0005-QH,89,0,175,121.515,25.11,2018/3/12 上午 11:40:51,0,50,100600
5472-YD,89,0,185,121.5012,25.1285,2018/3/12 上午 11:41:53,0,50,100600
5472-YD,89,0,185,121.5012,25.1285,2018/3/12 上午 11:42:23,0,50,100600
5472-YD,89,0,185,121.5013,25.1285,2018/3/12 上午 11:42:53,11,50,100600
0005-QH,68,0,68,121.5177,25.1055,2018/3/12 上午 11:48:22,10,50,100600
0005-QH,89,0,68,121.5176,25.1055,2018/3/12 上午 11:48:33,10,50,100600
0005-QH,89,0,68,121.5176,25.1055,2018/3/12 上午 11:49:03,0,50,100600
5470-YD,89,0,206,121.5163,25.1173,2018/3/12 上午 11:49:52,87,50,100600
5470-YD,89,0,206,121.5163,25.1173,2018/3/12 上午 11:50:22,0,50,100600
5471-YD,89,0,190,121.4667,25.1215,2018/3/12 上午 11:50:43,0,50,100600
5470-YD,89,0,242,121.5164,25.1173,2018/3/12 上午 11:50:52,10,50,100600
5471-YD,89,0,190,121.4667,25.1215,2018/3/12 上午 11:51:13,0,50,100600
5470-YD,89,0,242,121.5164,25.1173,2018/3/12 上午 11:51:22,0,50,100600
5471-YD,89,0,190,121.4667,25.1214,2018/3/12 上午 11:51:43,11,50,100600
5470-YD,89,0,242,121.5164,25.1173,2018/3/12 上午 11:51:52,0,50,100600
5471-YD,89,0,190,121.4667,25.1214,2018/3/12 上午 11:52:13,0,50,100600
5470-YD,89,0,242,121.5164,25.1173,2018/3/12 上午 11:52:22,0,50,100600
5471-YD,89,0,190,121.4667,25.1215,2018/3/12 上午 11:52:43,11,50,100600
5470-YD,89,0,242,121.5164,25.1173,2018/3/12 上午 11:52:53,0,50,100600
5471-YD,89,0,190,121.4667,25.1214,2018/3/12 上午 11:53:13,11,50,100600
5470-YD,89,0,242,121.5164,25.1173,2018/3/12 上午 11:53:22,0,50,100600
5471-YD,89,0,190,121.4667,25.1215,2018/3/12 上午 11:53:43,11,50,100600
5470-YD,89,0,242,121.5164,25.1173,2018/3/12 上午 11:53:53,0,50,100600
5471-YD,89,0,190,121.4667,25.1215,2018/3/12 上午 11:54:13,0,50,100600
5470-YD,89,0,242,121.5164,25.1173,2018/3/12 上午 11:54:23,0,50,100600
5471-YD,89,0,190,121.4667,25.1215,2018/3/12 上午 11:54:43,0,50,100600
5470-YD,89,0,242,121.5164,25.1173,2018/3/12 上午 11:54:53,0,50,100600
5471-YD,89,0,190,121.4667,25.1215,2018/3/12 上午 11:55:13,0,50,100600
0005-QH,89,0,102,121.5221,25.1131,2018/3/12 上午 11:57:38,,50,100600
0005-QH,68,0,102,121.5221,25.1131,2018/3/12 上午 11:57:47,,50,100600
0005-QH,89,0,102,121.5221,25.1131,2018/3/12 上午 11:58:08,146,50,100600
0005-QH,89,0,102,121.5221,25.1131,2018/3/12 上午 11:58:38,0,50,100600
5471-YD,89,0,71,121.4678,25.1279,2018/3/12 上午 11:59:44,0,50,100600
5471-YD,89,0,71,121.4678,25.1279,2018/3/12 下午 12:00:14,0,50,100600
5471-YD,89,0,71,121.4679,25.1279,2018/3/12 下午 12:00:44,10,50,100600
5471-YD,89,0,71,121.4679,25.1278,2018/3/12 下午 12:01:14,11,50,100600
5471-YD,89,0,71,121.4679,25.1279,2018/3/12 下午 12:01:44,11,50,100600
5471-YD,89,0,71,121.4678,25.1279,2018/3/12 下午 12:02:14,10,50,100600
5471-YD,89,0,71,121.4678,25.1279,2018/3/12 下午 12:02:44,0,50,100600
5471-YD,89,0,71,121.4679,25.1279,2018/3/12 下午 12:03:14,10,50,100600
5471-YD,89,0,60,121.4682,25.1281,2018/3/12 下午 12:03:44,37,50,100600
5471-YD,89,0,60,121.4682,25.1281,2018/3/12 下午 12:04:14,0,50,100600
3670-QH,89,0,242,121.5076,25.1252,2018/3/12 下午 12:06:49,46,50,100600
3670-QH,89,0,242,121.5076,25.1252,2018/3/12 下午 12:07:19,0,50,100600
3670-QH,89,0,242,121.5076,25.1252,2018/3/12 下午 12:07:49,0,50,100600
3670-QH,89,0,242,121.5076,25.1252,2018/3/12 下午 12:08:19,0,50,100600
ANN-5972,68,0,227,121.5031,25.1359,2018/3/12 下午 12:08:22,0,50,100600
3670-QH,89,0,242,121.5076,25.1252,2018/3/12 下午 12:08:49,0,50,100600
3670-QH,89,0,242,121.5076,25.1252,2018/3/12 下午 12:09:19,0,50,100600
5471-YD,89,0,101,121.4892,25.1384,2018/3/12 下午 12:09:45,23,50,100600
3670-QH,89,0,242,121.5076,25.1252,2018/3/12 下午 12:09:49,0,50,100600
5471-YD,89,0,101,121.4892,25.1384,2018/3/12 下午 12:10:15,0,50,100600
3670-QH,89,0,242,121.5076,25.1252,2018/3/12 下午 12:10:19,0,50,100600
5471-YD,89,0,101,121.4892,25.1384,2018/3/12 下午 12:10:45,0,50,100600
5471-YD,89,0,322,121.5032,25.1357,2018/3/12 下午 12:19:15,0,50,100600
5471-YD,89,0,145,121.503,25.1359,2018/3/12 下午 12:21:16,10,50,100600
5471-YD,68,0,145,121.503,25.1359,2018/3/12 下午 12:21:18,0,50,100600
0005-QH,89,0,116,121.5029,25.1359,2018/3/12 下午 12:22:09,,50,100600
8315-EW,89,0,293,121.515,25.1102,2018/3/12 下午 12:22:12,71,50,100600
0005-QH,68,0,116,121.5029,25.1359,2018/3/12 下午 12:22:23,11,50,100600
5470-YD,89,0,193,121.5029,25.1359,2018/3/12 下午 12:22:25,10,50,100600
0005-QH,89,0,116,121.5029,25.1359,2018/3/12 下午 12:22:39,0,50,100600
8315-EW,89,0,293,121.515,25.1101,2018/3/12 下午 12:22:43,11,50,100600
0005-QH,89,0,116,121.5029,25.1359,2018/3/12 下午 12:23:09,0,50,100600
0768-QH,89,0,72,121.5095,25.1147,2018/3/12 下午 12:23:11,23,50,100600
8315-EW,89,0,293,121.515,25.1101,2018/3/12 下午 12:23:13,0,50,100600
0768-QH,89,0,72,121.5096,25.1147,2018/3/12 下午 12:23:41,10,50,100600
8315-EW,89,0,293,121.515,25.1101,2018/3/12 下午 12:23:43,0,50,100600
8315-EW,89,0,293,121.5149,25.1101,2018/3/12 下午 12:24:13,10,50,100600
8315-EW,89,0,293,121.5149,25.1101,2018/3/12 下午 12:24:43,0,50,100600
8315-EW,89,0,293,121.5149,25.1101,2018/3/12 下午 12:25:13,0,50,100600
8315-EW,89,0,293,121.5149,25.1101,2018/3/12 下午 12:25:43,0,50,100600
8315-EW,89,0,293,121.5149,25.1101,2018/3/12 下午 12:26:13,0,50,100600
8315-EW,89,0,293,121.5149,25.1101,2018/3/12 下午 12:26:43,0,50,100600
8315-EW,89,0,293,121.5149,25.1101,2018/3/12 下午 12:27:13,0,50,100600
8315-EW,89,0,293,121.5149,25.1101,2018/3/12 下午 12:27:43,0,50,100600
5471-YD,89,0,228,121.5029,25.1359,2018/3/12 下午 12:27:49,15,50,100600
8315-EW,89,0,293,121.5149,25.1101,2018/3/12 下午 12:28:13,0,50,100600
5471-YD,89,0,228,121.5029,25.1359,2018/3/12 下午 12:28:19,0,50,100600
8315-EW,89,0,293,121.5149,25.1101,2018/3/12 下午 12:28:43,0,50,100600
5471-YD,89,0,228,121.5029,25.1359,2018/3/12 下午 12:28:49,0,50,100600
8315-EW,89,0,293,121.5149,25.1101,2018/3/12 下午 12:29:13,0,50,100600
